Temperature Change (F),Thickness of Concrete Layer (in.),Composite K (psi/in.),Concrete Stress (T) (psi),Concrete Stress (E) (psi)
-55,9.0,1300,142.62,132.56
-55,9.0,1600,127.50,132.96
-55,9.5,50,297.44,129.96
-55,9.5,100,276.90,130.27
-55,9.5,300,194.73,131.51
-55,9.5,500,165.53,132.17
-55,9.5,700,155.83,132.47
-55,9.5,1000,141.28,132.93
-55,9.5,1300,126.73,133.39
-55,9.5,1600,112.18,133.84
-55,10.0,50,279.36,130.27
-55,10.0,100,258.83,130.64
-55,10.0,300,176.72,132.14
-55,10.0,500,148.13,132.90
-55,10.0,700,138.81,133.24
-55,10.0,1000,124.84,133.76
-55,10.0,1300,110.87,134.27
-55,10.0,1600,96.89,134.78
-55,10.5,50,272.97,130.20
-55,10.5,100,252.28,130.54
-55,10.5,300,169.52,131.90
-55,10.5,500,141.16,132.62
-55,10.5,700,132.04,132.95
-55,10.5,1000,118.37,133.45
-55,10.5,1300,104.70,133.94
-55,10.5,1600,91.02,134.44
-55,11.0,50,263.15,130.30
-55,11.0,100,242.38,130.66
-55,11.0,300,159.30,132.09
-55,11.0,500,131.37,132.83
-55,11.0,700,122.55,133.17
-55,11.0,1000,109.31,133.68
-55,11.0,1300,96.07,134.19
-55,11.0,1600,82.84,134.70
-55,11.5,50,256.74,130.23
-55,11.5,100,235.82,130.54
-55,11.5,300,152.13,131.79
-55,11.5,500,124.42,132.48
-55,11.5,700,115.78,132.81
-55,11.5,1000,102.82,133.30
-55,11.5,1300,89.86,133.79
-55,11.5,1600,76.90,134.28
-55,12.0,50,246.91,130.34
-55,12.0,100,225.91,130.66
-55,12.0,300,141.93,131.96
-55,12.0,500,114.64,132.67
-55,12.0,700,106.29,133.01
-55,12.0,1000,93.76,133.51
-55,12.0,1300,81.23,134.01
-55,12.0,1600,68.70,134.52
-55,12.5,50,239.90,130.43
-55,12.5,100,218.81,130.76
-55,12.5,300,134.47,132.09
-55,12.5,500,107.65,132.81
-55,12.5,700,99.58,133.15
-55,12.5,1000,87.49,133.67
-55,12.5,1300,75.39,134.18
-55,12.5,1600,63.29,134.69
-55,13.0,50,229.52,130.72
-55,13.0,100,208.40,131.13
-55,13.0,300,123.91,132.76
-55,13.0,500,97.82,133.58
-55,13.0,700,90.16,133.95
-55,13.0,1000,78.68,134.51
-55,13.0,1300,67.20,135.06
-55,13.0,1600,55.71,135.62
-55,13.5,50,222.53,130.82
-55,13.5,100,201.31,131.24
-55,13.5,300,116.44,132.91
-55,13.5,500,90.83,133.75
-55,13.5,700,83.47,134.13
-55,13.5,1000,72.42,134.69
-55,13.5,1300,61.37,135.25
-55,13.5,1600,50.33,135.82
-55,14.0,50,202.22,131.70
-55,14.0,100,181.06,132.43
-55,14.0,300,96.44,135.37
-55,14.0,500,72.46,136.56
-55,14.0,700,65.93,137.04
-55,14.0,1000,56.14,137.77
-55,14.0,1300,46.34,138.49
-55,14.0,1600,36.55,139.21
-55,14.5,50,189.59,132.21
-55,14.5,100,169.30,133.09
-55,14.5,300,88.13,136.60
-55,14.5,500,65.60,137.98
-55,14.5,700,59.55,138.52
-55,14.5,1000,50.49,139.32
-55,14.5,1300,41.42,140.12
-55,14.5,1600,32.35,140.93
-55,15.0,50,180.41,132.54
-55,15.0,100,160.97,133.48
-55,15.0,300,83.23,137.23
-55,15.0,500,61.88,138.69
-55,15.0,700,56.17,139.25
-55,15.0,1000,47.61,140.10
-55,15.0,1300,39.05,140.95
-55,15.0,1600,30.49,141.79
-55,15.5,50,174.49,132.69
-55,15.5,100,155.86,133.61
-55,15.5,300,81.33,137.31
-55,15.5,500,60.86,138.76
-55,15.5,700,55.36,139.33
-55,15.5,1000,47.12,140.18
-55,15.5,1300,38.87,141.03
-55,15.5,1600,30.62,141.88
-55,16.0,50,168.58,132.82
-55,16.0,100,150.75,133.73
-55,16.0,300,79.42,137.38
-55,16.0,500,59.83,138.83
-55,16.0,700,54.54,139.40
-55,16.0,1000,46.61,140.27
-55,16.0,1300,38.68,141.13
-55,16.0,1600,30.75,141.99
-25,6.0,50,444.63,145.70
-25,6.0,100,424.33,145.78
-25,6.0,300,343.15,146.11
-25,6.0,500,310.90,146.30
-25,6.0,700,299.01,146.40
-25,6.0,1000,281.17,146.55
-25,6.0,1300,263.33,146.70
-25,6.0,1600,245.49,146.85
-25,6.5,50,420.54,145.76
-25,6.5,100,400.19,145.85
-25,6.5,300,318.78,146.21
-25,6.5,500,286.89,146.42
-25,6.5,700,275.29,146.53
-25,6.5,1000,257.89,146.69
-25,6.5,1300,240.48,146.85
-25,6.5,1600,223.08,147.01
-25,7.0,50,396.46,145.84
-25,7.0,100,376.05,145.93
-25,7.0,300,294.40,146.31
-25,7.0,500,262.89,146.54
-25,7.0,700,251.58,146.66
-25,7.0,1000,234.61,146.83
-25,7.0,1300,217.64,147.00
-25,7.0,1600,200.67,147.18
-25,7.5,50,372.37,145.91
-25,7.5,100,351.90,146.01
-25,7.5,300,270.03,146.41
-25,7.5,500,238.88,146.66
-25,7.5,700,227.86,146.78
-25,7.5,1000,211.33,146.97
-25,7.5,1300,194.79,147.16
-25,7.5,1600,178.26,147.34
-25,8.0,50,344.83,146.12
-25,8.0,100,324.40,146.25
-25,8.0,300,242.67,146.79
-25,8.0,500,212.08,147.10
-25,8.0,700,201.43,147.25
-25,8.0,1000,185.45,147.48
-25,8.0,1300,169.46,147.70
-25,8.0,1600,153.48,147.93
-25,8.5,50,330.18,146.19
-25,8.5,100,309.68,146.33
-25,8.5,300,227.69,146.89
-25,8.5,500,197.50,147.21
-25,8.5,700,187.14,147.37
-25,8.5,1000,171.59,147.61
-25,8.5,1300,156.04,147.84
-25,8.5,1600,140.50,148.08
-25,9.0,50,315.54,146.26
-25,9.0,100,294.97,146.40
-25,9.0,300,212.71,146.98
-25,9.0,500,182.92,147.31
-25,9.0,700,172.84,147.48
-25,9.0,1000,157.73,147.73
-25,9.0,1300,142.62,147.98
-25,9.0,1600,127.50,148.23
-25,9.5,50,297.44,146.46
-25,9.5,100,276.90,146.65
-25,9.5,300,194.73,147.40
-25,9.5,500,165.53,147.80
-25,9.5,700,155.83,147.99
-25,9.5,1000,141.28,148.29
-25,9.5,1300,126.73,148.58
-25,9.5,1600,112.18,148.87
-25,10.0,50,279.36,146.69
-25,10.0,100,258.83,146.92
-25,10.0,300,176.72,147.85
-25,10.0,500,148.13,148.33
-25,10.0,700,138.81,148.55
-25,10.0,1000,124.84,148.88
-25,10.0,1300,110.87,149.21
-25,10.0,1600,96.89,149.54
-25,10.5,50,272.97,146.61
-25,10.5,100,252.28,146.81
-25,10.5,300,169.52,147.60
-25,10.5,500,141.16,148.03
-25,10.5,700,132.04,148.23
-25,10.5,1000,118.37,148.54
-25,10.5,1300,104.70,148.85
-25,10.5,1600,91.02,149.15
-25,11.0,50,263.15,146.68
-25,11.0,100,242.38,146.88
-25,11.0,300,159.30,147.69
-25,11.0,500,131.37,148.13
-25,11.0,700,122.55,148.34
-25,11.0,1000,109.31,148.65
-25,11.0,1300,96.07,148.96
-25,11.0,1600,82.84,149.27
-25,11.5,50,256.74,146.59
-25,11.5,100,235.82,146.75
-25,11.5,300,152.13,147.39
-25,11.5,500,124.42,147.78
-25,11.5,700,115.78,147.97
-25,11.5,1000,102.82,148.26
-25,11.5,1300,89.86,148.55
-25,11.5,1600,76.90,148.84
-25,12.0,50,246.91,146.66
-25,12.0,100,225.91,146.82
-25,12.0,300,141.93,147.47
-25,12.0,500,114.64,147.86
-25,12.0,700,106.29,148.06
-25,12.0,1000,93.76,148.35
-25,12.0,1300,81.23,148.64
-25,12.0,1600,68.70,148.94
-25,12.5,50,239.90,146.72
-25,12.5,100,218.81,146.88
-25,12.5,300,134.47,147.52
-25,12.5,500,107.65,147.91
-25,12.5,700,99.58,148.11
-25,12.5,1000,87.49,148.40
-25,12.5,1300,75.39,148.69
-25,12.5,1600,63.29,148.99
-25,13.0,50,229.52,146.92
-25,13.0,100,208.40,147.14
-25,13.0,300,123.91,148.01
-25,13.0,500,97.82,148.46
-25,13.0,700,90.16,148.68
-25,13.0,1000,78.68,149.00
-25,13.0,1300,67.20,149.32
-25,13.0,1600,55.71,149.65
-25,13.5,50,222.53,147.00
-25,13.5,100,201.31,147.21
-25,13.5,300,116.44,148.07
-25,13.5,500,90.83,148.53
-25,13.5,700,83.47,148.74
-25,13.5,1000,72.42,149.07
-25,13.5,1300,61.37,149.39
-25,13.5,1600,50.33,149.71
-25,14.0,50,202.22,147.66
-25,14.0,100,181.06,148.13
-25,14.0,300,96.44,150.02
-25,14.0,500,72.46,150.77
-25,14.0,700,65.93,151.05
-25,14.0,1000,56.14,151.48
-25,14.0,1300,46.34,151.91
-25,14.0,1600,36.55,152.33
-25,14.5,50,189.59,148.05
-25,14.5,100,169.30,148.64
-25,14.5,300,88.13,151.02
-25,14.5,500,65.60,151.92
-25,14.5,700,59.55,152.24
-25,14.5,1000,50.49,152.73
-25,14.5,1300,41.42,153.22
-25,14.5,1600,32.35,153.70
-25,15.0,50,180.41,148.28
-25,15.0,100,160.97,148.93
-25,15.0,300,83.23,151.53
-25,15.0,500,61.88,152.50
-25,15.0,700,56.17,152.84
-25,15.0,1000,47.61,153.36
-25,15.0,1300,39.05,153.87
-25,15.0,1600,30.49,154.38
-25,15.5,50,174.49,148.37
-25,15.5,100,155.86,149.01
-25,15.5,300,81.33,151.58
-25,15.5,500,60.86,152.54
-25,15.5,700,55.36,152.89
-25,15.5,1000,47.12,153.41
-25,15.5,1300,38.87,153.93
-25,15.5,1600,30.62,154.45
-25,16.0,50,168.58,148.45
-25,16.0,100,150.75,149.08
-25,16.0,300,79.42,151.62
-25,16.0,500,59.83,152.59
-25,16.0,700,54.54,152.94
-25,16.0,1000,46.61,153.47
-25,16.0,1300,38.68,153.99
-25,16.0,1600,30.75,154.52
5,6.0,50,444.63,162.92
5,6.0,100,424.33,162.96
5,6.0,300,343.15,163.12
5,6.0,500,310.90,163.22
5,6.0,700,299.01,163.28
5,6.0,1000,281.17,163.37
5,6.0,1300,263.33,163.45
5,6.0,1600,245.49,163.54
5,6.5,50,420.54,162.94
5,6.5,100,400.19,162.98
5,6.5,300,318.78,163.15
5,6.5,500,286.89,163.25
5,6.5,700,275.29,163.31
5,6.5,1000,257.89,163.40
5,6.5,1300,240.48,163.49
5,6.5,1600,223.08,163.58
5,7.0,50,396.46,162.97
5,7.0,100,376.05,163.01
5,7.0,300,294.40,163.17
5,7.0,500,262.89,163.28
5,7.0,700,251.58,163.34
5,7.0,1000,234.61,163.44
5,7.0,1300,217.64,163.54
5,7.0,1600,200.67,163.63
5,7.5,50,372.37,163.00
5,7.5,100,351.90,163.04
5,7.5,300,270.03,163.20
5,7.5,500,238.88,163.31
5,7.5,700,227.86,163.38
5,7.5,1000,211.33,163.48
5,7.5,1300,194.79,163.58
5,7.5,1600,178.26,163.68
5,8.0,50,344.83,163.13
5,8.0,100,324.40,163.19
5,8.0,300,242.67,163.45
5,8.0,500,212.08,163.61
5,8.0,700,201.43,163.70
5,8.0,1000,185.45,163.83
5,8.0,1300,169.46,163.95
5,8.0,1600,153.48,164.08
5,8.5,50,330.18,163.16
5,8.5,100,309.68,163.22
5,8.5,300,227.69,163.47
5,8.5,500,197.50,163.63
5,8.5,700,187.14,163.72
5,8.5,1000,171.59,163.85
5,8.5,1300,156.04,163.98
5,8.5,1600,140.50,164.11
5,9.0,50,315.54,163.18
5,9.0,100,294.97,163.24
5,9.0,300,212.71,163.50
5,9.0,500,182.92,163.66
5,9.0,700,172.84,163.75
5,9.0,1000,157.73,163.89
5,9.0,1300,142.62,164.02
5,9.0,1600,127.50,164.16
5,9.5,50,297.44,163.32
5,9.5,100,276.90,163.41
5,9.5,300,194.73,163.78
5,9.5,500,165.53,164.00
5,9.5,700,155.83,164.11
5,9.5,1000,141.28,164.27
5,9.5,1300,126.73,164.42
5,9.5,1600,112.18,164.58
5,10.0,50,279.36,163.46
5,10.0,100,258.83,163.59
5,10.0,300,176.72,164.10
5,10.0,500,148.13,164.36
5,10.0,700,138.81,164.49
5,10.0,1000,124.84,164.68
5,10.0,1300,110.87,164.86
5,10.0,1600,96.89,165.05
5,10.5,50,272.97,163.38
5,10.5,100,252.28,163.47
5,10.5,300,169.52,163.84
5,10.5,500,141.16,164.05
5,10.5,700,132.04,164.16
5,10.5,1000,118.37,164.33
5,10.5,1300,104.70,164.49
5,10.5,1600,91.02,164.66
5,11.0,50,263.15,163.41
5,11.0,100,242.38,163.50
5,11.0,300,159.30,163.86
5,11.0,500,131.37,164.07
5,11.0,700,122.55,164.18
5,11.0,1000,109.31,164.35
5,11.0,1300,96.07,164.51
5,11.0,1600,82.84,164.68
5,11.5,50,256.74,163.33
5,11.5,100,235.82,163.38
5,11.5,300,152.13,163.57
5,11.5,500,124.42,163.71
5,11.5,700,115.78,163.81
5,11.5,1000,102.82,163.95
5,11.5,1300,89.86,164.09
5,11.5,1600,76.90,164.24
5,12.0,50,246.91,163.36
5,12.0,100,225.91,163.40
5,12.0,300,141.93,163.57
5,12.0,500,114.64,163.72
5,12.0,700,106.29,163.81
5,12.0,1000,93.76,163.96
5,12.0,1300,81.23,164.10
5,12.0,1600,68.70,164.24
5,12.5,50,239.90,163.40
5,12.5,100,218.81,163.43
5,12.5,300,134.47,163.56
5,12.5,500,107.65,163.69
5,12.5,700,99.58,163.78
5,12.5,1000,87.49,163.92
5,12.5,1300,75.39,164.05
5,12.5,1600,63.29,164.19
5,13.0,50,229.52,163.54
5,13.0,100,208.40,163.61
5,13.0,300,123.91,163.90
5,13.0,500,97.82,164.08
5,13.0,700,90.16,164.18
5,13.0,1000,78.68,164.34
5,13.0,1300,67.20,164.50
5,13.0,1600,55.71,164.65
5,13.5,50,222.53,163.58
5,13.5,100,201.31,163.64
5,13.5,300,116.44,163.90
5,13.5,500,90.83,164.07
5,13.5,700,83.47,164.17
5,13.5,1000,72.42,164.32
5,13.5,1300,61.37,164.47
5,13.5,1600,50.33,164.62
5,14.0,50,202.22,164.06
5,14.0,100,181.06,164.33
5,14.0,300,96.44,165.42
5,14.0,500,72.46,165.83
5,14.0,700,65.93,165.99
5,14.0,1000,56.14,166.23
5,14.0,1300,46.34,166.47
5,14.0,1600,36.55,166.71
5,14.5,50,189.59,164.33
5,14.5,100,169.30,164.71
5,14.5,300,88.13,166.22
5,14.5,500,65.60,166.77
5,14.5,700,59.55,166.97
5,14.5,1000,50.49,167.27
5,14.5,1300,41.42,167.56
5,14.5,1600,32.35,167.86
5,15.0,50,180.41,164.50
5,15.0,100,160.97,164.92
5,15.0,300,83.23,166.62
5,15.0,500,61.88,167.25
5,15.0,700,56.17,167.46
5,15.0,1000,47.61,167.79
5,15.0,1300,39.05,168.11
5,15.0,1600,30.49,168.43
5,15.5,50,174.49,164.54
5,15.5,100,155.86,164.96
5,15.5,300,81.33,166.66
5,15.5,500,60.86,167.29
5,15.5,700,55.36,167.51
5,15.5,1000,47.12,167.84
5,15.5,1300,38.87,168.17
5,15.5,1600,30.62,168.50
5,16.0,50,168.58,164.58
5,16.0,100,150.75,165.00
5,16.0,300,79.42,166.69
5,16.0,500,59.83,167.32
5,16.0,700,54.54,167.55
5,16.0,1000,46.61,167.89
5,16.0,1300,38.68,168.22
5,16.0,1600,30.75,168.56
35,6.0,50,444.63,180.38
35,6.0,100,424.33,180.39
35,6.0,300,343.15,180.43
35,6.0,500,310.90,180.47
35,6.0,700,299.01,180.49
35,6.0,1000,281.17,180.53
35,6.0,1300,263.33,180.57
35,6.0,1600,245.49,180.60
35,6.5,50,420.54,180.36
35,6.5,100,400.19,180.37
35,6.5,300,318.78,180.40
35,6.5,500,286.89,180.44
35,6.5,700,275.29,180.46
35,6.5,1000,257.89,180.50
35,6.5,1300,240.48,180.54
35,6.5,1600,223.08,180.57
35,7.0,50,396.46,180.36
35,7.0,100,376.05,180.36
35,7.0,300,294.40,180.37
35,7.0,500,262.89,180.40
35,7.0,700,251.58,180.43
35,7.0,1000,234.61,180.47
35,7.0,1300,217.64,180.50
35,7.0,1600,200.67,180.54
35,7.5,50,372.37,180.35
35,7.5,100,351.90,180.35
35,7.5,300,270.03,180.34
35,7.5,500,238.88,180.37
35,7.5,700,227.86,180.39
35,7.5,1000,211.33,180.43
35,7.5,1300,194.79,180.47
35,7.5,1600,178.26,180.50
35,8.0,50,344.83,180.42
35,8.0,100,324.40,180.43
35,8.0,300,242.67,180.49
35,8.0,500,212.08,180.55
35,8.0,700,201.43,180.59
35,8.0,1000,185.45,180.64
35,8.0,1300,169.46,180.69
35,8.0,1600,153.48,180.75
35,8.5,50,330.18,180.42
35,8.5,100,309.68,180.43
35,8.5,300,227.69,180.46
35,8.5,500,197.50,180.51
35,8.5,700,187.14,180.55
35,8.5,1000,171.59,180.60
35,8.5,1300,156.04,180.65
35,8.5,1600,140.50,180.71
35,9.0,50,315.54,180.42
35,9.0,100,294.97,180.42
35,9.0,300,212.71,180.44
35,9.0,500,182.92,180.48
35,9.0,700,172.84,180.51
35,9.0,1000,157.73,180.56
35,9.0,1300,142.62,180.61
35,9.0,1600,127.50,180.66
35,9.5,50,297.44,180.50
35,9.5,100,276.90,180.52
35,9.5,300,194.73,180.62
35,9.5,500,165.53,180.69
35,9.5,700,155.83,180.73
35,9.5,1000,141.28,180.80
35,9.5,1300,126.73,180.87
35,9.5,1600,112.18,180.93
35,10.0,50,279.36,180.57
35,10.0,100,258.83,180.62
35,10.0,300,176.72,180.82
35,10.0,500,148.13,180.93
35,10.0,700,138.81,180.99
35,10.0,1000,124.84,181.07
35,10.0,1300,110.87,181.15
35,10.0,1600,96.89,181.24
35,10.5,50,272.97,180.50
35,10.5,100,252.28,180.51
35,10.5,300,169.52,180.56
35,10.5,500,141.16,180.62
35,10.5,700,132.04,180.66
35,10.5,1000,118.37,180.73
35,10.5,1300,104.70,180.79
35,10.5,1600,91.02,180.85
35,11.0,50,263.15,180.51
35,11.0,100,242.38,180.51
35,11.0,300,159.30,180.53
35,11.0,500,131.37,180.58
35,11.0,700,122.55,180.62
35,11.0,1000,109.31,180.68
35,11.0,1300,96.07,180.73
35,11.0,1600,82.84,180.79
35,11.5,50,256.74,180.44
35,11.5,100,235.82,180.40
35,11.5,300,152.13,180.25
35,11.5,500,124.42,180.24
35,11.5,700,115.78,180.26
35,11.5,1000,102.82,180.29
35,11.5,1300,89.86,180.32
35,11.5,1600,76.90,180.35
35,12.0,50,246.91,180.44
35,12.0,100,225.91,180.39
35,12.0,300,141.93,180.21
35,12.0,500,114.64,180.18
35,12.0,700,106.29,180.20
35,12.0,1000,93.76,180.23
35,12.0,1300,81.23,180.25
35,12.0,1600,68.70,180.28
35,12.5,50,239.90,180.45
35,12.5,100,218.81,180.39
35,12.5,300,134.47,180.15
35,12.5,500,107.65,180.10
35,12.5,700,99.58,180.11
35,12.5,1000,87.49,180.14
35,12.5,1300,75.39,180.16
35,12.5,1600,63.29,180.18
35,13.0,50,229.52,180.55
35,13.0,100,208.40,180.51
35,13.0,300,123.91,180.37
35,13.0,500,97.82,180.35
35,13.0,700,90.16,180.37
35,13.0,1000,78.68,180.41
35,13.0,1300,67.20,180.45
35,13.0,1600,55.71,180.48
35,13.5,50,222.53,180.56
35,13.5,100,201.31,180.51
35,13.5,300,116.44,180.32
35,13.5,500,90.83,180.28
35,13.5,700,83.47,180.30
35,13.5,1000,72.42,180.33
35,13.5,1300,61.37,180.36
35,13.5,1600,50.33,180.39
35,14.0,50,202.22,180.89
35,14.0,100,181.06,181.01
35,14.0,300,96.44,181.48
35,14.0,500,72.46,181.65
35,14.0,700,65.93,181.73
35,14.0,1000,56.14,181.84
35,14.0,1300,46.34,181.95
35,14.0,1600,36.55,182.07
35,14.5,50,189.59,181.06
35,14.5,100,169.30,181.27
35,14.5,300,88.13,182.11
35,14.5,500,65.60,182.42
35,14.5,700,59.55,182.53
35,14.5,1000,50.49,182.70
35,14.5,1300,41.42,182.87
35,14.5,1600,32.35,183.04
35,15.0,50,180.41,181.15
35,15.0,100,160.97,181.41
35,15.0,300,83.23,182.44
35,15.0,500,61.88,182.81
35,15.0,700,56.17,182.94
35,15.0,1000,47.61,183.14
35,15.0,1300,39.05,183.34
35,15.0,1600,30.49,183.54
35,15.5,50,174.49,181.17
35,15.5,100,155.86,181.43
35,15.5,300,81.33,182.46
35,15.5,500,60.86,182.85
35,15.5,700,55.36,182.99
35,15.5,1000,47.12,183.20
35,15.5,1300,38.87,183.40
35,15.5,1600,30.62,183.61
35,16.0,50,168.58,181.18
35,16.0,100,150.75,181.44
35,16.0,300,79.42,182.49
35,16.0,500,59.83,182.89
35,16.0,700,54.54,183.03
35,16.0,1000,46.61,183.25
35,16.0,1300,38.68,183.47
35,16.0,1600,30.75,183.68
65,6.0,50,444.63,198.07
65,6.0,100,424.33,198.06
65,6.0,300,343.15,198.01
65,6.0,500,310.90,198.02
65,6.0,700,299.01,198.02
65,6.0,1000,281.17,198.03
65,6.0,1300,263.33,198.03
65,6.0,1600,245.49,198.03
65,6.5,50,420.54,198.04
65,6.5,100,400.19,198.02
65,6.5,300,318.78,197.95
65,6.5,500,286.89,197.94
65,6.5,700,275.29,197.94
65,6.5,1000,257.89,197.94
65,6.5,1300,240.48,197.94
65,6.5,1600,223.08,197.94
65,7.0,50,396.46,198.01
65,7.0,100,376.05,197.98
65,7.0,300,294.40,197.88
65,7.0,500,262.89,197.86
65,7.0,700,251.58,197.86
65,7.0,1000,234.61,197.86
65,7.0,1300,217.64,197.86
65,7.0,1600,200.67,197.86
65,7.5,50,372.37,197.97
65,7.5,100,351.90,197.94
65,7.5,300,270.03,197.82
65,7.5,500,238.88,197.79
65,7.5,700,227.86,197.79
65,7.5,1000,211.33,197.78
65,7.5,1300,194.79,197.77
65,7.5,1600,178.26,197.77
65,8.0,50,344.83,197.99
65,8.0,100,324.40,197.97
65,8.0,300,242.67,197.89
65,8.0,500,212.08,197.87
65,8.0,700,201.43,197.87
65,8.0,1000,185.45,197.88
65,8.0,1300,169.46,197.89
65,8.0,1600,153.48,197.89
65,8.5,50,330.18,197.97
65,8.5,100,309.68,197.94
65,8.5,300,227.69,197.82
65,8.5,500,197.50,197.80
65,8.5,700,187.14,197.80
65,8.5,1000,171.59,197.80
65,8.5,1300,156.04,197.79
65,8.5,1600,140.50,197.79
65,9.0,50,315.54,197.95
65,9.0,100,294.97,197.91
65,9.0,300,212.71,197.76
65,9.0,500,182.92,197.72
65,9.0,700,172.84,197.71
65,9.0,1000,157.73,197.71
65,9.0,1300,142.62,197.70
65,9.0,1600,127.50,197.69
65,9.5,50,297.44,197.97
65,9.5,100,276.90,197.95
65,9.5,300,194.73,197.86
65,9.5,500,165.53,197.84
65,9.5,700,155.83,197.84
65,9.5,1000,141.28,197.84
65,9.5,1300,126.73,197.84
65,9.5,1600,112.18,197.84
65,10.0,50,279.36,198.01
65,10.0,100,258.83,198.00
65,10.0,300,176.72,197.97
65,10.0,500,148.13,197.97
65,10.0,700,138.81,197.98
65,10.0,1000,124.84,198.00
65,10.0,1300,110.87,198.01
65,10.0,1600,96.89,198.03
65,10.5,50,272.97,197.94
65,10.5,100,252.28,197.90
65,10.5,300,169.52,197.74
65,10.5,500,141.16,197.69
65,10.5,700,132.04,197.68
65,10.5,1000,118.37,197.67
65,10.5,1300,104.70,197.66
65,10.5,1600,91.02,197.65
65,11.0,50,263.15,197.93
65,11.0,100,242.38,197.88
65,11.0,300,159.30,197.67
65,11.0,500,131.37,197.60
65,11.0,700,122.55,197.59
65,11.0,1000,109.31,197.58
65,11.0,1300,96.07,197.56
65,11.0,1600,82.84,197.55
65,11.5,50,256.74,197.87
65,11.5,100,235.82,197.78
65,11.5,300,152.13,197.41
65,11.5,500,124.42,197.28
65,11.5,700,115.78,197.25
65,11.5,1000,102.82,197.21
65,11.5,1300,89.86,197.17
65,11.5,1600,76.90,197.13
65,12.0,50,246.91,197.87
65,12.0,100,225.91,197.76
65,12.0,300,141.93,197.34
65,12.0,500,114.64,197.19
65,12.0,700,106.29,197.16
65,12.0,1000,93.76,197.11
65,12.0,1300,81.23,197.05
65,12.0,1600,68.70,197.00
65,12.5,50,239.90,197.87
65,12.5,100,218.81,197.74
65,12.5,300,134.47,197.24
65,12.5,500,107.65,197.07
65,12.5,700,99.58,197.03
65,12.5,1000,87.49,196.97
65,12.5,1300,75.39,196.91
65,12.5,1600,63.29,196.85
65,13.0,50,229.52,197.91
65,13.0,100,208.40,197.80
65,13.0,300,123.91,197.37
65,13.0,500,97.82,197.22
65,13.0,700,90.16,197.19
65,13.0,1000,78.68,197.14
65,13.0,1300,67.20,197.09
65,13.0,1600,55.71,197.04
65,13.5,50,222.53,197.90
65,13.5,100,201.31,197.78
65,13.5,300,116.44,197.29
65,13.5,500,90.83,197.11
65,13.5,700,83.47,197.07
65,13.5,1000,72.42,197.02
65,13.5,1300,61.37,196.97
65,13.5,1600,50.33,196.91
65,14.0,50,202.22,198.10
65,14.0,100,181.06,198.11
65,14.0,300,96.44,198.14
65,14.0,500,72.46,198.14
65,14.0,700,65.93,198.16
65,14.0,1000,56.14,198.20
65,14.0,1300,46.34,198.23
65,14.0,1600,36.55,198.26
65,14.5,50,189.59,198.19
65,14.5,100,169.30,198.28
65,14.5,300,88.13,198.63
65,14.5,500,65.60,198.76
65,14.5,700,59.55,198.82
65,14.5,1000,50.49,198.91
65,14.5,1300,41.42,199.00
65,14.5,1600,32.35,199.09
65,15.0,50,180.41,198.23
65,15.0,100,160.97,198.36
65,15.0,300,83.23,198.89
65,15.0,500,61.88,199.09
65,15.0,700,56.17,199.17
65,15.0,1000,47.61,199.29
65,15.0,1300,39.05,199.41
65,15.0,1600,30.49,199.53
65,15.5,50,174.49,198.22
65,15.5,100,155.86,198.36
