Temperature Change (F),Thickness of Concrete Layer (in.),Composite K (psi/in.),Concrete Stress (T) (psi),Concrete Stress (E) (psi)
-55,6.0,50,444.63,128.73
-55,6.0,100,424.33,128.87
-55,6.0,300,343.15,129.42
-55,6.0,500,310.90,129.74
-55,6.0,700,299.01,129.89
-55,6.0,1000,281.17,130.13
-55,6.0,1300,263.33,130.36
-55,6.0,1600,245.49,130.59
-55,6.5,50,420.54,128.86
-55,6.5,100,400.19,129.01
-55,6.5,300,318.78,129.62
-55,6.5,500,286.89,129.97
-55,6.5,700,275.29,130.14
-55,6.5,1000,257.89,130.40
-55,6.5,1300,240.48,130.65
-55,6.5,1600,223.08,130.91
-55,7.0,50,396.46,129.00
-55,7.0,100,376.05,129.16
-55,7.0,300,294.40,129.82
-55,7.0,500,262.89,130.20
-55,7.0,700,251.58,130.39
-55,7.0,1000,234.61,130.67
-55,7.0,1300,217.64,130.94
-55,7.0,1600,200.67,131.22
-55,7.5,50,372.37,129.13
-55,7.5,100,351.90,129.31
-55,7.5,300,270.03,130.02
-55,7.5,500,238.88,130.43
-55,7.5,700,227.86,130.63
-55,7.5,1000,211.33,130.94
-55,7.5,1300,194.79,131.24
-55,7.5,1600,178.26,131.54
-55,8.0,50,344.83,129.43
-55,8.0,100,324.40,129.65
-55,8.0,300,242.67,130.55
-55,8.0,500,212.08,131.05
-55,8.0,700,201.43,131.29
-55,8.0,1000,185.45,131.65
-55,8.0,1300,169.46,132.00
-55,8.0,1600,153.48,132.36
-55,8.5,50,330.18,129.54
-55,8.5,100,309.68,129.78
-55,8.5,300,227.69,130.74
-55,8.5,500,197.50,131.27
-55,8.5,700,187.14,131.52
-55,8.5,1000,171.59,131.90
-55,8.5,1300,156.04,132.28
-55,8.5,1600,140.50,132.66
-55,9.0,50,315.54,129.67
-55,9.0,100,294.97,129.92
-55,9.0,300,212.71,130.93
-55,9.0,500,182.92,131.49
-55,9.0,700,172.84,131.76
-55,9.0,1000,157.73,132.16
